NCT Number	Title	Acronym	Status	Conditions	Interventions	Outcome Measures	Sponsors	Gender	Age	Enrollment	Funders	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	Last Verified	First Submitted	First Posted	Results First Submitted	Results First Posted	Last Update Submitted	Last Update Posted	URL	Setting	Stage	Sponsor_Type	Controlled	Multi-Arm	Pediatric	Country_PI	Cancer_Group	Cancer_Type	Drug_INN	Primary-EP	Phase	DrugBank	Removed
NCT05678348	Pyrimethamine as an Inhibitor of NRF2 in HPV-negative Locally Advanced Head and Neck Squamous Cell Carcinoma		Recruiting	Head and Neck Cancer|Cancer of the Head and Neck	Drug: Pyrimethamine	Change in Log2 of tumor DHFR expression as measured by western blot analysis; Safety and tolerability of pyrimethamine as measured by number of adverse events; Change in Log2 of NRF2 activity score as measured using the NRF2 SureQuant proteomic assay; Number of grade 3 or higher adverse events due to pyrimethamine; Number of participants with a delay in surgery by   10 days due to pyrimethamine	Washington University School of Medicine; Vyera Pharmaceuticals	All	18 Years and older   (Adult, Older Adult)	20	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	202302068	08/03/2023	15/04/2026	15/04/2026			01/10/2023				08/04/2023	https://ClinicalTrials.gov/show/NCT05678348		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United States	Head and Neck	Any head and neck squamous cell carcinoma	Pyrimethamine	Safety and/or Dose; Biomarker; Other (specify)	Phase 1	DB00205	N
NCT05291390	Pyronaridine in Acute Lymphoblastic Leukemia (ALL) and Acute Myeloid Leukemia (AML)		Recruiting	Acute Myeloid Leukemia (AML)|Acute Lymphoblastic Leukemia (ALL)	Drug: Pyronaridine Tetraphosphate	Change in survival lengths to 1 year	Armaceutica, Inc.; Uganda Cancer Institute; African Center for Cancer Research and End of Life Care (ACREOL), Rwanda; Ifakara Health Research and Development Centre; Dalal Jamm Hospital, Dakar, Senegal	All	18 Years and older   (Adult, Older Adult)	200	Industry; Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	PND7351	21/11/2022	02/01/2024	03/01/2024			22/03/2022				29/11/2022	https://ClinicalTrials.gov/show/NCT05291390		Localised/Locoregional	Company	Y	N	N	United States	Leukemia	Acute Lymphoblastic Leukemia, Adult; Acute Myeloid Leukemia, Adult	Pyronaridine	OS	Phase 2	DB12975	N
NCT01268579	Pharmacodynamic Effects of Ribavirin in Patients With Tonsil and/or Base of Tongue Squamous Cell Carcinoma		Active, not recruiting	HEAD   NECK Cancer	Drug: ribavirin	To explore if ribavirin therapy for 2 weeks decreases tumor expression; to explore the pharmacodynamic effects of ribavirin; To explore if ribavirin reduces the expression of HPV-16 oncoproteins E6 and E7	Memorial Sloan Kettering Cancer Center	All	18 Years to 65 Years   (Adult, Older Adult)	7	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	10-218	12/01/2010	12/01/2023	12/01/2023			31/12/2010				01/12/2023	https://ClinicalTrials.gov/show/NCT01268579		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United States	Head and Neck	Other Head and Neck	Ribavirin	Biomarker	Other	DB00811	N
NCT04761614	Riluzole in Combination With mFOLFOX6 and Bevacizumab in Treating Patients With Metastatic Colorectal Cancer		Active, not recruiting	Metastatic Colorectal Carcinoma|Stage IV Colorectal Cancer AJCC v8|Stage IVA Colorectal Cancer AJCC v8|Stage IVB Colorectal Cancer AJCC v8|Stage IVC Colorectal Cancer AJCC v8	Biological: Bevacizumab; Drug: Fluorouracil; Drug: Leucovorin Calcium; Drug: Oxaliplatin; Drug: Riluzole	Dose limiting toxicities (DLTs); Pharmacokinetic (PK) profile of riluzole (Cmax); Pharmacokinetic (PK) profile of riluzole (AUC)	Ning Jin; Ohio State University Comprehensive Cancer Center	All	18 Years and older   (Adult, Older Adult)	13	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	OSU-20096; NCI-2021-00018	04/02/2021	31/12/2023	31/12/2024			21/02/2021				05/06/2023	https://ClinicalTrials.gov/show/NCT04761614		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	GI	Colon Cancer; Rectal Cancer	Riluzole	Safety and/or Dose; Other (specify)	Phase 1	DB00740	N
NCT01303341	Riluzole and Sorafenib Tosylate in Treating Patients With Advanced Solid Tumors or Melanoma		Active, not recruiting	Advanced Malignant Solid Neoplasm|Recurrent Melanoma|Refractory Malignant Solid Neoplasm|Stage III Cutaneous Melanoma AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7	Other: Laboratory Biomarker Analysis; Other: Pharmacological Study; Drug: Riluzole; Drug: Sorafenib Tosylate	Maximum-tolerated dose of sorafenib tosylate and riluzole in patients with all types of solid tumors; Suppression of MAPK and PI3K/AKT pathways; Change in BCL-2 expression; Change in MCL-1 expression; Change in BIM expression; Pharmacokinetic parameters of the combination of riluzole with sorafenib tosylate; Change in microvesicle quantification	National Cancer Institute (NCI)	All	18 Years and older   (Adult, Older Adult)	35	NIH	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NCI-2011-02597; CDR0000695355; 090906; 8850; P30CA072720; R01CA149627; U01CA132194; UM1CA186716	18/02/2011	05/01/2012	09/09/2023			24/02/2011				27/03/2023	https://ClinicalTrials.gov/show/NCT01303341		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	Skin; Multiple cancer types	Melanoma; Any solid tumours	Riluzole	Safety and/or Dose; Biomarker	Phase 1	DB00740	N
NCT00866840	Riluzole in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed by Surgery		Completed	Melanoma (Skin)	Drug: riluzole	Tumor Response as Measured by RECIST Criteria	Rutgers, The State University of New Jersey; National Cancer Institute (NCI)	All	18 Years to 120 Years   (Adult, Older Adult)	13	Other; NIH	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	0220080280; P30CA072720; CINJ-090802; CDR0000637646	04/01/2009	07/01/2013	07/01/2013			23/03/2009		28/09/2022		28/09/2022	https://ClinicalTrials.gov/show/NCT00866840		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	Skin	Melanoma	Riluzole	Response rate	Phase 2	DB00740	N
NCT05796271	Clinical Trial of Roflumilast Added to Standard Chemoimmunotherapy		Not yet recruiting	Lymphoma, B-Cell	Drug: R-Chop and Roflumilast	Anti-tumor efficacy: progression-free survival (PFS)	The University of Texas Health Science Center at San Antonio	All	18 Years to 99 Years   (Adult, Older Adult)	90	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CTMS# 22-0016	01/01/2024	01/01/2027	01/01/2028			04/03/2023				04/03/2023	https://ClinicalTrials.gov/show/NCT05796271		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United States	Lymphoma	Lymphoma - Other	Roflumilast	PFS	Phase 1	DB01656	N
NCT03392246	A Phase 2 Study of Osimertinib in Combination With Selumetinib in EGFR Inhibitor na ve Advanced EGFR Mutant Lung Cancer		Active, not recruiting	Non-small Cell Lung Cancer	Drug: Osimertinib; Drug: Selumetinib	Best Objective Response; Progression Free Survival; Overall Survival; Tolerability Proportion; Toxicity Grading	Dana-Farber Cancer Institute; National Comprehensive Cancer Network	All	18 Years and older   (Adult, Older Adult)	25	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	17-540	31/01/2018	30/06/2024	30/06/2026			01/05/2018				18/07/2023	https://ClinicalTrials.gov/show/NCT03392246		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	United States	Lung	Non-Small Cell Lung Cancer	Selumetinib	Safety and/or Dose; Response rate; PFS; OS	Phase 2	DB11689	N
NCT00463814	AZD6244 (ARRY-142886) Solid Oral Dosage Formulation in Patients With Advanced Solid Malignancies		Active, not recruiting	Tumor|Cancer	Drug: AZD6244	To assess the pharmacokinetics of the solid dose form of AZD6244; To assess safety and tolerability of solid dose form of AZD6244	AstraZeneca	All	18 Years to 99 Years   (Adult, Older Adult)	58	Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	D1532C00005; 2006-004497-26	03/08/2007	17/06/2008	29/12/2023			20/04/2007				13/07/2023	https://ClinicalTrials.gov/show/NCT00463814		Advanced/Metastatic	Company	N	N	N	United Kingdom	Multiple cancer types	Any solid tumours	Selumetinib	Safety and/or Dose	Phase 1	DB11689	N
NCT01933932	Assess Efficacy   Safety of Selumetinib in Combination With Docetaxel in Patients Receiving 2nd Line Treatment for v-Ki-ras2 Kirsten Rat Sarcoma Viral Oncogene Homolog (KRAS) Positive NSCLC	SELECT-1	Active, not recruiting	Locally Advanced or Metastatic Non Small Cell Lung Cancer Stage IIIb - IV	Drug: Selumetinib; Drug: Docetaxel; Drug: Placebo; Drug: Pegylated G-CSF	Progression-Free Survival (PFS); Overall Survival (OS); Objective Response Rate (ORR); Duration of Response (DoR); Symptom Improvement Rate Using Average Symptom Burden Index (ASBI) of the Lung Cancer Symptom Scale (LCSS); Time to Symptom Progression Using Average Symptom Burden Index (ASBI) of the Lung Cancer Symptom Scale (LCSS)	AstraZeneca	All	18 Years to 130 Years   (Adult, Older Adult)	510	Industry	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	D1532C00079; 2013-001676-38	25/09/2013	06/07/2016	29/12/2023			09/02/2013		29/08/2017		07/03/2023	https://ClinicalTrials.gov/show/NCT01933932	Palliative	Advanced/Metastatic; Recurrent/Refractory	Company	Y	N	N	United Kingdom	Lung	Non-Small Cell Lung Cancer	Selumetinib	Response rate; PFS; OS	Phase 3	DB11689	N
NCT02450656	Afatinib and Selumetinib in Advanced KRAS Mutant and PIK3CA Wildtype Non-small Cell Lung Cancer	M14AFS	Unknown status	Colorectal Neoplasms|Gastrointestinal Neoplasms|Pancreatic Neoplasms|Carcinoma, Non-Small-Cell Lung	Drug: Afatinib; Drug: Selumetinib; Drug: Docetaxel	Dose Limiting Toxicities (Phase I); Progression Free Survival (Phase II); Tolerability (Incidence and severity of adverse events per CTCAE v4.03); Plasma concentrations of afatanib and selumetinib; Efficacy (Phase II) (Overall response rate (ORR), duration of response (DOR) , time to response (TTR) and overall survival (OS) per RECIST v1.1)	The Netherlands Cancer Institute; AstraZeneca; Boehringer Ingelheim	All	18 Years and older   (Adult, Older Adult)	320	Other; Industry	Interventional Study	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	M14AFS	06/01/2015	05/01/2019	12/01/2019			21/05/2015				27/08/2018	https://ClinicalTrials.gov/show/NCT02450656		Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	Netherlands	Lung	Non-Small Cell Lung Cancer	Selumetinib	Safety and/or Dose; Response rate; PFS	Phase 1/2	DB11689	N
NCT03801369	Olaparib in Combination With Either Durvalumab, Selumetinib, or Capivasertib or Ceralasertib Alone in Treating Patients With Metastatic Triple Negative Breast Cancer		Recruiting	Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma	Procedure: Biopsy; Drug: Capivasertib; Drug: Ceralasertib; Biological: Durvalumab; Drug: Olaparib; Other: Quality-of-Life Assessment; Drug: Selumetinib	Objective response rate (ORR); Clinical benefit rate (CBR); Duration of response (DOR); Progression-free survival (PFS); Overall survival (OS); Incidence of grade 3+ acute toxicity	OHSU Knight Cancer Institute; AstraZeneca; Oregon Health and Science University	All	18 Years and older   (Adult, Older Adult)	132	Other; Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00018504; NCI-2019-00388	12/12/2018	31/12/2024	31/12/2027			01/11/2019				21/08/2023	https://ClinicalTrials.gov/show/NCT03801369		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	Y	N	United States	Breast	Breast Cancer - TNBC	Selumetinib	Response rate	Phase 2	DB11689	N
NCT03162627	Selumetinib and Olaparib in Solid Tumors		Active, not recruiting	Malignant Neoplasm of Breast|Malignant Neoplasms of Digestive Organs|Malignant Neoplasms of Female Genital Organs|Malignant Neoplasms of Male Genital Organs|Malignant Neoplasms of Thyroid and Other Endocrine Glands	Drug: Selumetinib; Drug: Olaparib	Maximum Tolerated Dose (MTD) for Combination of Selumetinib and Olaparib in Participants with Advanced or Recurrent Solid Tumors; Determination of Drug Concentration in Selumetinib and Olaparib; Comparison of Baseline Expression Values with Differing Treatment Responses of Selumetinib and Olaparib; Anti-Tumor Activity Evaluation by RECIST v1.1	M.D. Anderson Cancer Center; AstraZeneca	All	18 Years and older   (Adult, Older Adult)	90	Other; Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2016-1129; NCI-2018-01205	08/04/2017	30/08/2026	30/08/2026			22/05/2017				04/11/2023	https://ClinicalTrials.gov/show/NCT03162627		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	Y	N	United States	Multiple cancer types	Any solid tumours	Selumetinib	Safety and/or Dose	Phase 1	DB11689	N
NCT03581487	Durvalumab, Tremelimumab, and Selumetinib in Treating Participants With Recurrent or Stage IV Non-small Cell Lung Cancer		Recruiting	Recurrent Lung Non-Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8	Biological: Durvalumab; Drug: Selumetinib; Biological: Tremelimumab	Maximum tolerated dose (MTD) (dose-escalation phase); Progression free survival time (PFS) (dose expansion phase); Response rate by Response Evaluation Criteria in Solid Tumors 1.1; Disease control rate (complete response + partial response + stable disease); Overall survival (OS); Incidence of adverse events	M.D. Anderson Cancer Center; National Cancer Institute (NCI)	All	18 Years and older   (Adult, Older Adult)	40	Other; NIH	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2017-0888; NCI-2018-01098	04/01/2019	31/12/2023	31/12/2023			07/10/2018				21/07/2023	https://ClinicalTrials.gov/show/NCT03581487		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	Y	N	United States	Lung	Non-Small Cell Lung Cancer	Selumetinib	Response rate; PFS; OS	Phase 1/2	DB11689	N
NCT01364051	Cediranib Maleate and Selumetinib Sulfate in Treating Patients With Solid Malignancies		Active, not recruiting	Metastatic Melanoma|Refractory Malignant Solid Neoplasm|Stage IV Cutaneous Melanoma AJCC v6 and v7|Unresectable Malignant Solid Neoplasm	Drug: Cediranib; Drug: Cediranib Maleate; Other: Laboratory Biomarker Analysis; Other: Pharmacological Study; Drug: Selumetinib; Drug: Selumetinib Sulfate	Maximum tolerated dose (MTD); Incidence of adverse events, classified as either possibly, probably, or definitely related to study treatment; Incidence of hematologic toxicities; Incidence of non-hematologic toxicities; Overall toxicity incidence; Best response	National Cancer Institute (NCI)	All	18 Years and older   (Adult, Older Adult)	19	NIH	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NCI-2012-02906; CDR0000700596; MC1012; NCI-2011-01083; 8810; P30CA015083; U01CA069912; UM1CA186686	25/05/2011	06/06/2019				06/02/2011				27/03/2023	https://ClinicalTrials.gov/show/NCT01364051		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	United States	Skin; Multiple cancer types	Melanoma; Any solid tumours	Selumetinib	Safety and/or Dose; Response rate	Phase 1	DB11689	N
NCT02393690	Iodine I-131 With or Without Selumetinib in Treating Patients With Recurrent or Metastatic Thyroid Cancer		Active, not recruiting	Metastatic Thyroid Gland Carcinoma|Poorly Differentiated Thyroid Gland Carcinoma|Recurrent Thyroid Gland Carcinoma|Stage IV Thyroid Gland Follicular Carcinoma AJCC v7|Stage IV Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVA Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVA Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVB Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVB Thyroid Gland Papillary Carcinoma AJCC v7|Stage IVC Thyroid Gland Follicular Carcinoma AJCC v7|Stage IVC Thyroid Gland Papillary Carcinoma AJCC v7	Radiation: Iodine I-131; Other: Placebo Administration; Drug: Selumetinib	Response at 6 Months; Best Overall Response; Progression Free Survival (PFS); Changes in Serum Thyroglobulin Levels; Incidence of Adverse Events	Academic and Community Cancer Research United; National Cancer Institute (NCI)	All	18 Years and older   (Adult, Older Adult)	60	Other; NIH	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	RU241306I; NCI-2015-00277; 14-008494; P30CA015083	05/04/2015	17/07/2020	31/12/2023			19/03/2015		08/03/2021		02/02/2023	https://ClinicalTrials.gov/show/NCT02393690		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	Y	N	N	United States	Endocrine	Thyroid Cancer	Selumetinib	Safety and/or Dose; Response rate; PFS; Biomarker	Phase 2	DB11689	N
NCT03213691	Selumetinib Sulfate in Treating Patients With Relapsed or Refractory Advanced Solid Tumors, Non-Hodgkin Lymphoma, or Histiocytic Disorders With Activating MAPK Pathway Mutations (A Pediatric MATCH Treatment Trial)		Active, not recruiting	Advanced Malignant Solid Neoplasm|Ann Arbor Stage III Childhood Non-Hodgkin Lymphoma|Ann Arbor Stage IV Childhood Non-Hodgkin Lymphoma|Recurrent Childhood Central Nervous System Neoplasm|Recurrent Childhood Non-Hodgkin Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Neuroblastoma|Refractory Malignant Solid Neoplasm|Refractory Neuroblastoma|Refractory Non-Hodgkin Lymphoma|Refractory Primary Central Nervous System Neoplasm	Other: Laboratory Biomarker Analysis; Drug: Selumetinib; Drug: Selumetinib Sulfate	Response Rate; Percentage of Participants With Treatment-related Adverse Events as Accessed by Common Terminology Criteria for Adverse Events (CTCAE) Version (v) 5.0; Progression Free Survival (PFS)	National Cancer Institute (NCI)	All	12 Months to 21 Years   (Child, Adult)	21	NIH	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NCI-2017-01250; APEC1621E; U10CA180886	24/07/2017	30/06/2021	30/06/2024			07/11/2017		13/12/2022		08/04/2023	https://ClinicalTrials.gov/show/NCT03213691		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	United States	Lymphoma; Multiple cancer types	Non-Hodgkin Lymphoma, Childhood; Non-Hodgkin Lymphoma, Adult; Any solid tumours	Selumetinib	Safety and/or Dose; Response rate; PFS	Phase 2	DB11689	N
NCT05554328	Testing the Use of the Combination of Selumetinib and Olaparib or Selumetinib Alone Targeted Treatment for RAS Pathway Mutant Recurrent or Persistent Ovarian and Endometrial Cancers, A ComboMATCH Treatment Trial		Recruiting	Recurrent Endometrial Carcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma	Procedure: Biopsy; Procedure: Biospecimen Collection; Procedure: Bone Marrow Aspiration and Biopsy; Procedure: Computed Tomography; Procedure: Echocardiography; Procedure: Multigated Acquisition Scan; Drug: Olaparib; Drug: Selumetinib Sulfate	Progression-free survival (PFS); Incidence of adverse events (AE); Objective response rate (ORR) between two arms; ORR in crossover patients; Duration of response of both arms	National Cancer Institute (NCI); NRG Oncology	Female	18 Years and older   (Adult, Older Adult)	165	NIH; Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NCI-2022-06841; EAY191-N4; U10CA180868	25/04/2023	30/09/2024	30/09/2024			26/09/2022				09/04/2023	https://ClinicalTrials.gov/show/NCT05554328		Recurrent/Refractory	Collaborative Group	N	Y	N	United States	Gynaecological	Endometrial Cancer; Ovarian Epithelial Cancer; Fallopian Tube Cancer; Primary Peritoneal Cancer	Selumetinib	PFS	Phase 2	DB11689	N
NCT02151084	A Study of Different Dosing Schedules of Selumetinib With Cisplatin/Gemcitabine (CIS/GEM) Versus CIS/GEM Alone in Biliary Cancer		Active, not recruiting	Biliary Tract Carcinoma|Gallbladder Carcinoma	Drug: Selumetinib; Drug: Cisplatin; Drug: Gemcitabine	Change in tumor size in millimetres; Number of participants with objective response and/or stable disease; Percentage of patients without progressive disease; Progression-free survival in months; Overall survival in months; Total incidence of adverse events; Total rate of grade 3 and 4 toxicities	University Health Network, Toronto	All	18 Years and older   (Adult, Older Adult)	57	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BIL-MEK	11/01/2014	12/01/2023	02/01/2024			30/05/2014				18/06/2023	https://ClinicalTrials.gov/show/NCT02151084		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	Y	Y	N	Canada	Urological; GI	Bladder Cancer; Cholangiocaricnoma	Selumetinib	Safety and/or Dose; Response rate; PFS; OS	Phase 2	DB11689	N
NCT03326310	Selumetinib and Azacitidine in High Risk Chronic Blood Cancers		Recruiting	Chronic Myeloid Leukemia|Myelofibroses	Drug: Azacitidine; Drug: Selumetinib	Number of patients with adverse events; Time to completion of next generation sequencing panel.; Rate of overall response.; Rate of symptom response.; Rate of overall survival.; Rate of progression free survival.	University of Chicago	All	18 Years and older   (Adult, Older Adult)	18	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB17-0774	09/04/2018	09/04/2023	09/04/2025			31/10/2017				29/08/2023	https://ClinicalTrials.gov/show/NCT03326310		Other (specify)	Hospital/University/Research Institute	N	N	N	United States	Leukemia; Other Haem-onc	Chronic Myelogenous Leukemia; Myelodysplastic Syndromes	Selumetinib	Safety and/or Dose; Response rate; PFS; OS	Phase 1	DB11689	N
NCT02143466	AZD9291 in Combination With Ascending Doses of Novel Therapeutics		Active, not recruiting	Advanced Non Small Cell Lung Cancer	Drug: Part A - AZD9291 in combination with AZD6094; Drug: Part A - AZD9291 in combination with continuous selumetinib (Asian subjects); Drug: Part A - AZD9291 in combination with continuous selumetinib (non-Asian subjects); Drug: Part A - AZD9291 in combination with intermittent selumetinib; Drug: Part A - AZD9291 in combination with MEDI4736; Drug: Part B - AZD9291 in combination with AZD6094; Drug: Part B - AZD9291 in combination with selumetinib; Drug: Part B - AZD9291 in combination with MEDI4736; Drug: Part C - AZD6094 monotherapy (Japan only); Drug: Part C - AZD9291 in combination with AZD6094 (Japan only); Drug: Part D - AZD9291 in combination with AZD6094	Number of participants with Adverse Events and/or Dose Limiting Toxicities as a Measure of Safety and Tolerability of AZD9291 when given in combination with AZD6094 or selumetinib; Number of participants with Adverse Events as a measure of Safety and Tolerability of AZD9291 when given in combination with AZD6094 or selumetinib; Cmax after single dosing; Tmax after single dosing; AUC after single dosing; AUC0-t after single dosing; AUC0-24 after single dosing; Terminal half life after single dosing; CL/f after single dosing; Volume of distribution after single dosing; Cssmax after multiple dosing; Tssmax after multiple dosing; Cssmin after multiple dosing; AUCss after multiple dosing; CLss/f after multiple dosing; Rac after multiple dosing; Time dependency of PK after multiple dosing; Objective response rate; Disease control rate; Duration of response; Percentage change in tumour size; Progression free survival; Overall survival	AstraZeneca	All	18 Years to 130 Years   (Adult, Older Adult)	344	Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	D5160C00006; 2016-004752-29	08/05/2014	03/04/2020	29/12/2023			21/05/2014				27/06/2023	https://ClinicalTrials.gov/show/NCT02143466		Advanced/Metastatic; Recurrent/Refractory	Company	N	Y	N	United States	Lung	Non-Small Cell Lung Cancer	Selumetinib	Safety and/or Dose	Phase 1	DB11689	N
NCT03944772	Phase 2 Platform Study in Patients With Advanced Non-Small Lung Cancer Who Progressed on First-Line Osimertinib Therapy (ORCHARD)	ORCHARD	Recruiting	Non-Small Cell Lung Cancer	Drug: Osimertinib; Drug: Savolitinib; Drug: Gefitinib; Drug: Necitumumab; Drug: Durvalumab; Drug: Carboplatin; Drug: Pemetrexed; Drug: Alectinib; Drug: Selpercatinib; Drug: Selumetinib; Drug: Etoposide; Drug: Cisplatin; Drug: Datopotamab deruxtecan	Objective response rate (ORR); Progression-free survival (PFS); Duration of response (DoR); Overall survival (OS); Plasma concentrations of therapeutic agents; Incidence of Treatment-emergent adverse events (AEs) and serious adverse events (SAEs) as characterized and graded by National Cancer Institute (NCI) Common Terminology Criteria for Adverse Event [CTCAE] v5	AstraZeneca	All	18 Years to 130 Years   (Adult, Older Adult)	250	Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	D6186C00001; 2018-003974-29	25/06/2019	28/11/2025	28/11/2025			05/10/2019				29/08/2023	https://ClinicalTrials.gov/show/NCT03944772		Recurrent/Refractory	Company	Y	Y	N	United States	Lung	Non-Small Cell Lung Cancer	Selumetinib	Safety and/or Dose; Response rate; PFS; OS; Biomarker	Phase 2	DB11689	N
NCT05253131	Trial of Selumetinib and Bromodomain Inhibitor With Durvalumab for Sarcomas		Not yet recruiting	MPNST|NF1|Sarcoma	Drug: Selumetinib	Safety and Tolerability Selumetinib with BI; Safety and Tolerability of Durvalumab with Selumetinib and BI; Determine the Clinical Benefit of Selumetinib, BI and Durvalumab	University of Alabama at Birmingham; United States Department of Defense	All	18 Years to 99 Years   (Adult, Older Adult)	41	Other; U.S. Fed	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	300006373	15/01/2024	15/01/2029	15/01/2030			23/02/2022				08/07/2023	https://ClinicalTrials.gov/show/NCT05253131		Any/All Stages	Hospital/University/Research Institute	N	N	N	United States	Bone Sarcoma; Soft Tissue Sarcoma	Osteosarcoma; Ewing Sarcoma; Rhabdomyosarcoma	Selumetinib	Safety and/or Dose; Other (specify)	Phase 1/2	DB11689	N
